#Pos (steps),	Merit (a. u.)
75544.0000	47.0487
75554.0000	47.1313
75564.0000	47.3368
75574.0000	47.7748
75584.0000	47.9300
75594.0000	48.3282
75604.0000	48.2037
75614.0000	48.6092
75624.0000	48.5566
75634.0000	45.5583
75644.0000	40.6230
75654.0000	34.5223
75664.0000	27.9305
75674.0000	21.1382
75684.0000	5.9844
75674.0000	5.8316
75664.0000	5.9386
75654.0000	5.9703
75644.0000	6.0040
75634.0000	5.9352
75624.0000	6.0045
75614.0000	5.9299
75604.0000	5.9064
75594.0000	5.9939
75584.0000	5.9270
75574.0000	5.9400
75564.0000	6.0163
75554.0000	5.9574
75544.0000	5.9529
75534.0000	6.0612
75524.0000	5.9240
75514.0000	6.3469
75504.0000	7.4971
75494.0000	9.1964
75484.0000	13.0941
75474.0000	18.1185
75464.0000	25.1740
75454.0000	32.9406
75444.0000	39.7233
75434.0000	45.0277
75424.0000	35.4309
75414.0000	28.8297
75404.0000	22.8085
75394.0000	18.1679
75384.0000	13.8383
75374.0000	10.8801
75364.0000	8.9512
75354.0000	7.8698
75384.0000	6.9492
75394.0000	7.3517
75404.0000	7.3750
75414.0000	10.0769
75424.0000	12.6191
75434.0000	16.0304
75444.0000	20.3325
75454.0000	25.1425
75464.0000	31.6850
75474.0000	37.2007
75484.0000	42.8194
75494.0000	46.8545
75504.0000	48.9866
75514.0000	47.9419
75524.0000	43.6538
75534.0000	38.4479
75544.0000	31.4127
75554.0000	24.3501
75564.0000	17.0878
75574.0000	12.4349
75584.0000	8.9419
75594.0000	7.1300
75604.0000	6.3580
75614.0000	5.9133
75624.0000	5.8215
75724.0000	3.7724
75624.0000	3.8324
75594.0000	4.6147
