#Pos (steps),	Merit (a. u.)
-3892.0000	38.6348
-3902.0000	38.4785
-3912.0000	39.3322
-3922.0000	38.6577
-3932.0000	40.1253
-3942.0000	40.7093
-3952.0000	41.8534
-3962.0000	43.5083
-3972.0000	46.9326
-3982.0000	53.5404
-3992.0000	55.8558
-4002.0000	61.1482
-4012.0000	64.7667
-4022.0000	67.6075
-4032.0000	67.1741
-4042.0000	65.4427
-4052.0000	61.8304
-4062.0000	58.3656
-4072.0000	55.0307
-4082.0000	50.7089
-4092.0000	47.9669
-4102.0000	44.8635
-4112.0000	43.4901
-4102.0000	42.1080
-4092.0000	41.5361
-4082.0000	40.6193
-4072.0000	41.2878
-4062.0000	43.1016
-4052.0000	45.3947
-4042.0000	47.8273
-4032.0000	50.2172
-4022.0000	54.5102
-4012.0000	58.6333
-4002.0000	61.8867
-3992.0000	65.0009
-3982.0000	67.2713
-3972.0000	67.8003
-3962.0000	65.9231
-3952.0000	60.9387
-3942.0000	55.6142
-3932.0000	50.1843
-3922.0000	46.8187
-3912.0000	43.7368
-3902.0000	41.9087
-3892.0000	40.4850
-3882.0000	39.2228
-3872.0000	39.6742
-3882.0000	39.5990
-3892.0000	39.5323
-3902.0000	39.6066
-3912.0000	39.6202
-3922.0000	40.7019
-3932.0000	39.9847
-3942.0000	39.6104
-3952.0000	41.3552
-3962.0000	43.2143
-3972.0000	45.5311
-3982.0000	50.5761
-3992.0000	56.2197
-4002.0000	61.6757
-4012.0000	65.6391
-4013.0000	66.7696
-4014.0000	67.6600
-4015.0000	67.3572
-4016.0000	68.2420
-4017.0000	67.9633
-4018.0000	67.7380
-4019.0000	67.5442
-4020.0000	67.8120
-4021.0000	67.7628
-4022.0000	68.7038
-4023.0000	67.9834
-4024.0000	67.8340
-4025.0000	67.9880
-4026.0000	66.7080
-4027.0000	67.2543
-4028.0000	67.3504
-4029.0000	66.6784
-4030.0000	66.6110
-4031.0000	66.2303
-4032.0000	66.6888
-4033.0000	66.8691
-4034.0000	66.2321
-4035.0000	66.0008
-4036.0000	65.7454
-4037.0000	66.0705
-4038.0000	64.9385
-4028.0000	64.9329
-4018.0000	65.4053
-4008.0000	65.4137
-3998.0000	64.8434
-3988.0000	66.0778
-3987.0000	67.7687
-3986.0000	67.5650
-3985.0000	68.2207
-3984.0000	67.8382
-3983.0000	68.2302
-3982.0000	67.5235
-3981.0000	67.6425
-3980.0000	68.7295
-3979.0000	68.3507
-3978.0000	67.6372
-3977.0000	67.5327
-3976.0000	67.5940
-3975.0000	67.6347
-3974.0000	67.3756
-3973.0000	67.7918
-3972.0000	66.9322
-3971.0000	67.5656
-3970.0000	66.2643
-3969.0000	66.4517
-3968.0000	65.8971
-3967.0000	66.2156
-3966.0000	65.0851
-3965.0000	65.7442
-3964.0000	64.3461
-3963.0000	64.4163
-3962.0000	63.9713
-3961.0000	62.7484
-3960.0000	62.3668
-3961.0000	62.5780
-3960.0000	62.3317
-3950.0000	61.1219
-3940.0000	57.2152
