#Pos (steps),	Merit (a. u.)
-130.0000	4.9815
-140.0000	5.1617
-150.0000	5.2994
-160.0000	5.4313
-170.0000	5.7505
-180.0000	6.3518
-190.0000	6.1698
-200.0000	5.9611
-210.0000	5.7433
-240.0000	5.6175
-250.0000	22.9464
-260.0000	38.0445
-270.0000	35.6428
-280.0000	31.5052
-290.0000	13.6324
-300.0000	11.2989
-310.0000	9.1232
-320.0000	7.9650
-330.0000	2.0175
-340.0000	2.0132
-350.0000	2.1187
-360.0000	2.1447
-370.0000	2.1667
-380.0000	2.2166
-390.0000	2.2612
-400.0000	2.3433
-410.0000	2.4125
-420.0000	2.5475
-430.0000	2.6312
-440.0000	2.9610
-450.0000	2.9294
-460.0000	2.9493
-470.0000	2.9572
-480.0000	2.9295
-490.0000	2.8664
-500.0000	2.9119
-510.0000	2.9499
-520.0000	3.0312
-530.0000	3.1779
-540.0000	3.2090
-550.0000	4.1829
-560.0000	4.5186
-570.0000	4.8512
-580.0000	5.2058
-590.0000	5.6848
-600.0000	6.0519
-610.0000	8.6367
-620.0000	9.3605
-630.0000	9.8405
-640.0000	10.3664
-650.0000	10.7543
-660.0000	11.1036
-670.0000	11.2809
-680.0000	11.0878
-690.0000	11.0794
-700.0000	10.7790
-710.0000	10.4168
-720.0000	9.9208
-730.0000	9.3377
-740.0000	8.5093
-750.0000	7.8992
-760.0000	7.1899
-770.0000	4.2007
-780.0000	2.9998
220.0000	23.3366
190.0000	10.1745
160.0000	10.2926
130.0000	10.1398
100.0000	10.0581
70.0000	9.6779
40.0000	9.2732
10.0000	8.3942
-90.0000	7.4948
-190.0000	6.6179
-290.0000	5.7600
-390.0000	5.1894
-490.0000	4.8966
-590.0000	4.8980
-600.0000	5.2049
-610.0000	5.2397
-620.0000	5.0869
-630.0000	5.0630
-640.0000	5.9753
-650.0000	6.1663
-660.0000	5.9461
-670.0000	5.7344
-680.0000	5.8003
-690.0000	6.0965
-700.0000	6.5829
-710.0000	7.6192
-720.0000	12.1789
-730.0000	12.4611
-740.0000	35.1317
-750.0000	36.4744
-760.0000	23.3653
-770.0000	18.8856
-780.0000	15.5582
-790.0000	12.8777
-800.0000	10.6168
-810.0000	8.9237
-820.0000	7.7481
-830.0000	7.0051
-840.0000	6.4868
-850.0000	6.1673
-950.0000	2.9730
-960.0000	7.1341
-970.0000	8.0152
-980.0000	8.4416
-990.0000	9.2173
-1000.0000	9.5738
-1010.0000	10.1701
